ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 11:00:00,23669.25,24550.85,23664.95,24180.25,66263
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 12:00:00,24181.45,24409.45,24134.75,24397.75,75273
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 13:00:00,24398.25,24433.25,24222.05,24389.55,104693
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 14:00:00,24388.95,24476.95,24316.55,24399.05,101390
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 15:00:00,24399.25,24477.0,24159.5,24170.3,92798
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 16:00:00,24170.0,24253.9,24097.3,24152.9,99829
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 17:00:00,24153.4,24256.95,24095.9,24252.35,77139
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 18:00:00,24252.65,24320.6,24200.6,24298.65,65838
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 19:00:00,24298.85,24304.1,24187.1,24187.35,50757
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 20:00:00,24187.73,24222.4,24147.9,24189.75,24569
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 22:00:00,24194.86,24275.55,24160.4,24268.55,12706
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 23:00:00,24268.65,24269.65,24213.95,24242.55,12761
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 00:00:00,24241.55,24244.55,24053.45,24110.65,40164
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 01:00:00,24110.55,24113.05,24019.45,24050.35,52177
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 02:00:00,24048.85,24080.15,24009.35,24035.85,40905
