ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 08:00:00,15418.59,15438.09,15412.09,15427.09,1543
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 09:00:00,15427.59,15466.09,15426.59,15446.09,1276
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 10:00:00,15446.59,15457.59,15442.09,15452.09,1138
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 11:00:00,15451.59,15466.09,15447.09,15459.09,1200
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 12:00:00,15460.59,15526.09,15368.59,15377.09,3919
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 13:00:00,15376.09,15500.09,15370.59,15487.59,4071
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 14:00:00,15488.09,15495.09,15359.09,15432.09,3768
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 15:00:00,15431.59,15449.09,15362.09,15412.59,3284
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 16:00:00,15413.09,15446.39,15402.59,15442.89,2539
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 17:00:00,15443.89,15457.89,15424.89,15441.89,2710
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 18:00:00,15442.39,15465.89,15440.89,15455.89,1951
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 19:00:00,15455.39,15473.89,15453.39,15460.39,1508
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 21:00:00,15412.41,15562.41,15350.41,15562.41,25891
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 23:00:00,15412.41,15424.91,15406.91,15419.41,361
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 00:00:00,15418.91,15421.41,15396.91,15397.41,601
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 01:00:00,15396.91,15396.91,15361.41,15375.91,527
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 02:00:00,15374.91,15385.41,15369.41,15377.91,343
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 03:00:00,15377.41,15386.41,15375.41,15382.41,232
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 04:00:00,15381.91,15381.91,15367.41,15371.91,307
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 05:00:00,15369.91,15394.41,15350.41,15389.91,732
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 06:00:00,15389.41,15413.11,15373.41,15406.11,1722
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 07:00:00,15406.61,15462.11,15391.61,15447.11,2632
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 08:00:00,15447.61,15466.11,15417.11,15427.61,1654
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 09:00:00,15428.11,15437.11,15408.11,15417.61,1413
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 10:00:00,15419.11,15471.61,15419.11,15468.11,1410
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 11:00:00,15467.61,15487.61,15448.11,15451.61,1381
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 12:00:00,15451.11,15467.61,15427.11,15446.11,1763
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 13:00:00,15446.61,15485.11,15441.11,15479.11,1859
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-15 14:00:00,15478.11,15509.11,15472.61,15508.61,1896
