date_creation,ticker,rr_tp1,rr_tp2,statut_final,r_trailing,resolution_time_est,prix_entree,stop_loss_init
2023-12-20 17:32:36,NASDAQ100 - MINI NASDAQ100 FULL0926,1.465107692307703,2.9052307692307604,INVALIDÉE,-1.0,2023-12-21 01:18:31,17047.5,16885.0
2023-12-20 18:30:33,USD/CAD,2.906250000000145,6.406250000000319,INVALIDÉE,-1.0,2023-12-21 02:16:28,1.3318,1.335
2023-12-20 18:31:04,EUR/JPY,1.4918032786885551,3.327868852459099,INVALIDÉE,-1.0,2023-12-21 02:16:59,157.66,157.05
2023-12-27 07:26:02,GBP/USD,2.153846153845957,4.307692307691913,INVALIDÉE,-1.0,2023-12-27 15:11:57,1.2734,1.2721
2024-01-02 18:29:52,AUD/USD,1.692307692307804,3.538461538461663,OBJECTIF ATTEINT,1.692307692307804,2024-01-03 02:15:47,0.677,0.6783
2024-01-02 22:24:50,GBP/JPY,1.358490566037794,2.830188679245353,INVALIDÉE,-1.0,2024-01-03 06:10:45,179.11,180.17
2024-01-04 17:30:45,GBP/CHF,1.8333333333331792,3.833333333332994,INVALIDÉE,-1.0,2024-01-05 01:16:40,1.08,1.0788
2024-01-07 23:25:42,USD/CAD,2.117647058823514,4.764705882352842,OBJECTIF ATTEINT,2.117647058823514,2024-01-08 07:11:37,1.3363,1.3346
2024-01-09 20:29:56,USD/CAD,2.4000000000000665,10.250000000000083,INVALIDÉE,-1.0,2024-01-10 04:15:51,1.3396,1.3376
2024-01-25 10:27:04,GBP/USD,2.5999999999999117,12.73333333333278,INVALIDÉE,-1.0,2024-01-25 18:12:59,1.2736,1.2721
2024-01-31 00:26:02,NZD/USD,1.500000000000222,3.300000000000444,INVALIDÉE,-1.0,2024-01-31 08:11:57,0.6134,0.6124
2024-02-01 06:25:22,AUD/USD,2.846153846153945,5.0000000000001705,INVALIDÉE,-1.0,2024-02-01 14:11:17,0.6538,0.6551
2024-02-01 06:25:49,EUR/USD,1.8500000000000167,8.149999999999983,INVALIDÉE,-1.0,2024-02-01 14:11:44,1.0801,1.0821
2024-02-02 17:54:27,NASDAQ100 - MINI NASDAQ100 FULL0926,1.3572298669072853,4.088292352808447,OBJECTIF ATTEINT,1.3572298669072853,2024-02-03 01:40:22,17741.25,17519.6
2024-02-06 09:27:52,NASDAQ100 - MINI NASDAQ100 FULL0926,1.621845044411219,3.37111951455461,INVALIDÉE,-1.0,2024-02-06 17:13:47,17747.25,17633.54
2024-02-07 08:26:55,DAX40 PERF INDEX,1.829796543426048,3.868300153139424,INVALIDÉE,-1.0,2024-02-07 16:12:50,17014.1,16968.39
2024-02-21 03:27:02,GBP/USD,2.499999999999762,3.999999999999683,INVALIDÉE,-1.0,2024-02-21 11:12:57,1.2634,1.262
2024-02-21 14:27:39,EUR/JPY,2.7037037037039533,7.037037037037532,OBJECTIF ATTEINT,2.7037037037039533,2024-02-21 22:13:34,162.23,161.96
2024-02-21 21:25:34,GBP/USD,1.4230769230767657,2.2307692307690203,OBJECTIF ATTEINT,1.4230769230767657,2024-02-22 05:11:29,1.2632,1.2606
2024-02-23 08:27:50,USD/JPY,1.4444444444443392,5.666666666666509,INVALIDÉE,-1.0,2024-02-23 16:13:45,150.63,150.45
2024-02-23 12:27:30,AUD/JPY,2.59375000000005,19.062500000000437,INVALIDÉE,-1.0,2024-02-23 20:13:25,98.94,98.62
2024-02-26 10:47:53,CHF/JPY,1.4942528735632237,3.954022988505724,INVALIDÉE,-1.0,2024-02-26 18:33:48,171.29,170.42
2024-03-05 21:26:26,EUR/USD,1.6315789473683473,6.947368421052521,OBJECTIF ATTEINT,1.6315789473683473,2024-03-06 05:12:21,1.0857,1.0838
2024-03-06 00:26:07,USD/CAD,2.93548387096789,6.8387096774196525,INVALIDÉE,-1.0,2024-03-06 08:12:02,1.3597,1.3566
2024-03-14 00:26:59,USD/CHF,2.166666666666646,4.888888888888779,OBJECTIF ATTEINT,2.166666666666646,2024-03-14 08:12:54,0.8787,0.8769
2024-03-14 22:25:16,NZD/USD,1.900000000000011,5.700000000000033,OBJECTIF ATTEINT,1.900000000000011,2024-03-15 06:11:11,0.6125,0.6135
2024-03-19 12:27:41,GBP/JPY,1.666666666666636,3.9569892473118062,OBJECTIF ATTEINT,1.666666666666636,2024-03-19 20:13:36,191.09,190.16
2024-03-20 08:27:36,NZD/USD,2.285714285714161,4.714285714285443,INVALIDÉE,-1.0,2024-03-20 16:13:31,0.604,0.6054
2024-03-20 19:32:59,EUR/CHF,2.545454545454591,12.181818181818263,OBJECTIF ATTEINT,2.545454545454591,2024-03-21 03:18:54,0.9676,0.9665
2024-03-21 14:59:14,USD/JPY,1.8854961832061028,4.22137404580152,OBJECTIF ATTEINT,1.8854961832061028,2024-03-21 22:45:09,151.48,150.17
2024-03-25 21:26:56,DAX40 FULL0926,1.5689655172413792,3.9827586206896552,OBJECTIF ATTEINT,1.5689655172413792,2024-03-26 05:12:51,18542.0,18484.0
2024-03-27 05:27:29,EUR/GBP,1.3846153846154372,3.3076923076924523,INVALIDÉE,-1.0,2024-03-27 13:13:24,0.8583,0.857
2024-03-28 00:26:01,NZD/USD,1.749999999999896,8.999999999999723,OBJECTIF ATTEINT,1.749999999999896,2024-03-28 08:11:56,0.5988,0.5996
2024-03-29 04:26:24,EUR/GBP,2.8888888888889026,8.555555555555488,INVALIDÉE,-1.0,2024-03-29 12:12:19,0.8536,0.8545
2024-04-09 17:30:56,DAX40 FULL0926,1.971830985915493,8.915492957746478,INVALIDÉE,-1.0,2024-04-10 01:16:51,18338.0,18409.0
2024-04-09 23:25:29,NZD/USD,2.2777777777777435,5.7222222222221335,INVALIDÉE,-1.0,2024-04-10 07:11:24,0.6065,0.6047
2024-04-12 07:27:49,NZD/USD,1.3571428571428006,5.642857142856882,OBJECTIF ATTEINT,1.3571428571428006,2024-04-12 15:13:44,0.5971,0.5985
2024-04-12 13:49:20,GBP/USD,2.013333333333302,5.626666666666622,INVALIDÉE,-1.0,2024-04-12 21:35:15,1.2466,1.2541
